time,.data
1969/12/31/19:30:46.308000,EDGE_SE2 1846.306 1846.306 0.005591402569968743 0 -5.8882940207057495e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.329000,EDGE_SE2 1846.327 1846.327 0.008376462325474444 0 -1.1435570038241527e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.332000,EDGE_SE2 1846.331 1846.331 0.0016012770880342725 0 -8.065378513546591e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.332000,EDGE_SE2 1846.333 1846.333 0.0007991111830495805 0 -1.445342058386764e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.348000,EDGE_SE2 1846.345 1846.345 0.004798543754061355 0 1.1862954806332807e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.357000,EDGE_SE2 1846.354 1846.354 0.0035959940435004354 0 1.74683461104762e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.362000,EDGE_SE2 1846.361 1846.361 0.0027988174064994217 0 -1.1932075144742243e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.393000,EDGE_SE2 1846.38 1846.38 0.007618717911298637 0 2.8385531090956896e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.406000,EDGE_SE2 1846.397 1846.397 0.00679938805068438 0 3.6161695014773518e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.412000,EDGE_SE2 1846.41 1846.41 0.00519943921177693 0 -1.3084343486471361e-05 0.03 0.0 0.0 0.03 0.0 0.01
